"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
563663463232;;00-00000345;;Майонез;"Майонез Печагин (5л) 78%";"Майонез Печагин (5л) 78%";;https://static.tildacdn.com/stor3835-6538-4162-b865-326534316434/63445384.png;970.00;335;;;;ed6eb12c-e96d-11e7-876c-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/563663463232-maionez-pechagin-5l-78
123868858502;;;;;"Соус Кетчуп томатный ""Хайнц"" пакет, 2 кг.(6шт/уп)";"Соус Кетчуп томатный ""Хайнц"" пакет, 2 кг.(6шт/уп)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;543.00;41;;;;345c4580-cd63-11ea-96a8-c176ee6d4136;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/123868858502-sous-ketchup-tomatnii-haints-paket-2-kg6
173509888802;;;;Соусы;"Соус бальзамический ""Тамаки"" 0,47 мл.(6шт/уп)";"Соус бальзамический ""Тамаки"" 0,47 мл.(6шт/уп)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;185.00;0;;;;d9dabc92-96e4-11ed-80e3-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/tproduct/173509888802-sous-balzamicheskii-tamaki-047-ml6shtup
620020856262;;БУ-00000561;;Масло;"Масло подсолнечное 5 л. Золотые просторы (3шт/уп)";"Масло подсолнечное 5 л. Золотые просторы (3шт/уп)";;https://static.tildacdn.com/stor3866-6532-4831-a633-343365363537/42046436.png;599.00;1408;;;;50686a8e-89cb-11ea-9696-8121eae85e58;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/620020856262-maslo-podsolnechnoe-5-l-zolotie-prostori
561260637552;;;;Соусы;"Соус Кисло-сладкий Tamaki 0,47л (6шт/уп)";"Соус Кисло-сладкий Tamaki 0,47л (6шт/уп)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;170.00;0;;;;01c44f27-814f-11eb-bd64-d45d64a8ba3c;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/tproduct/561260637552-sous-kislo-sladkii-tamaki-047l-6shtup
191546890552;;UT-00000028;;Сыр;"Сыр кремчиз ""FriendChef"" творожный 65% 3,3 кг";"Сыр кремчиз ""FriendChef"" творожный 65% 3,3 кг";;https://static.tildacdn.com/stor3331-3836-4436-b039-613961366237/67357376.png;1740.00;48;;;;28c8e09a-8869-11eb-bd65-d45d64a8ba3c;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/191546890552-sir-kremchiz-friendchef-tvorozhnii-65-33
887441230402;;UT-00000046;;Майонез;"Майонез Печагин (10 л.) 78%";"Майонез Печагин (10 л.) 78%";;;1798.00;0;;;;3c73ebf1-d0b2-11eb-bd6b-d45d64a8ba3c;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/887441230402-maionez-pechagin-10-l-78
314924552132;;;;;"Лук сушеный резаный (хлопья)";"Лук сушеный резаный (хлопья)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;370.00;14;;;;2d16c257-db97-11e4-9ca4-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/314924552132-luk-sushenii-rezanii-hlopya
214311442602;;00-00000083;;"Специи и приправы";"Имбирь молотый";"Имбирь молотый";;;400.00;19;;;;5eb36dc9-d577-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/214311442602-imbir-molotii
173176255002;;;;Товары;"Пепперони С/К 1 кг Дымов (8шт/уп)";"Пепперони С/К 1 кг Дымов (8шт/уп)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;765.00;84;;;;49bf02f0-6235-11e8-85c5-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/173176255002-pepperoni-sk-1-kg-dimov-8shtup
